Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C13, C16, C3",0603,4,1u_50V_0603,C15849
"C10, C11, C12, C14, C15, C17, C18, C19, C2, C4, C5, C6, C7, C8, C9",0603,15,100n_50V_0603,C14663
CR1,D_SMA,1,SS14,C2480
F1,C1_BEL-M,1,C1Q 1.5,
FL1,BEAD_BLM18PG_C1608X95N,1,BLM18PG600SN1D,
J1,AMPHENOL_GSB1C41110SSHR,1,GSB1C41110SSHR,
J2,HRS_DM3BT-DSF-PEJS,1,DM3BT-DSF-PEJS,
J4,CONN11_BM11B-GHS-TBTLFSNN_JST,1,BM11B-GHS-TBT,
"LED1, LED2, LED3, LED4, LED5",LED_JE2835_CRW-M,5,LED_Cree_JE2835,
MT1,XDCR_ACZ11BR1E-15KQA1-12C,1,ACZ11BR1E-15KQA1-12C,
"R1, R10, R11, R12, R13, R14, R15, R16, R19, R2, R21, R22, R26, R27, R28, R29, R3, R31, R32, R4, R5, R8, R9",0603,23,10k_0.1W_0603,C25804
"R17, R18, R20, R23, R25",0603,5,33R_0.1W_0603,C23140
R24,0603,1,68R_0.2W_0603,
"R30, R33, R34, R35",0603,4,0R_0.1W_0603,C21189
"R6, R7",0603,2,5.1k_0.1W_0603,C23186
"SW1, SW2, SW3, SW4, SW5",CherryMX_1.00u_PCB,5,CherryMX,
SW6,TL1240YQ,1,TL1240YQ2JBLK,
"SW7, SW8",SW_PUSH_6mm,2,SW_Push,
U1,SOT-23-6,1,USBLC6-2SC6,
U2,VREG_TLV1117LV33DCYR,1,TLV1117LV33DCYR,
U3,DFN8_FUJ-M,1,MB85RS4MTYPN-GS-AWEWE1,
U4,ESP32-S3-WROOM-1U,1,ESP32-S3-WROOM-1,C2913202
