Designator,Mid X,Mid Y,Rotation,Layer
C1,14.254452,52.94,180.0,top
C10,81.481452,17.23,180.0,top
C11,81.541452,29.36,180.0,top
C12,35.273452,35.755,0.0,top
C13,51.386652,43.365,180.0,bottom
C14,65.708452,21.505,90.0,top
C15,51.386652,41.785,180.0,bottom
C16,54.763452,68.52,90.0,top
C17,35.415652,67.465,180.0,top
C18,56.363452,68.52,90.0,top
C19,48.935652,67.585,0.0,top
C2,14.254452,51.22,180.0,top
C3,87.098452,39.675,0.0,top
C4,87.098452,41.215,0.0,top
C5,50.083452,35.545,0.0,top
C6,27.903452,47.535,90.0,top
C7,82.266452,23.1,90.0,top
C8,17.218452,35.665,0.0,top
C9,27.423452,12.965,270.0,top
CR1,83.353452,44.2136,90.0,top
H1,3.596726,69.051726,0.0,top
H2,3.115,3.38,0.0,top
H6,87.398452,69.01,0.0,top
H7,86.960178,3.251726,0.0,top
LED1,53.202152,22.81,180.0,top
LED2,37.018152,39.0,180.0,top
LED3,36.858152,22.58,180.0,top
LED4,36.803452,6.27,180.0,top
LED5,20.548152,22.8,180.0,top
R1,11.414452,52.095,270.0,top
R10,26.273452,47.535,90.0,top
R11,81.506452,20.59,180.0,top
R12,58.354452,46.88,270.0,bottom
R13,17.218452,37.205,0.0,top
R14,25.833452,12.965,270.0,top
R15,81.491452,18.92,180.0,top
R16,81.551452,27.76,180.0,top
R17,52.623452,19.595,0.0,top
R18,28.693452,39.815,90.0,top
R19,32.213452,35.765,180.0,top
R2,9.584452,52.1,270.0,top
R20,28.133452,19.605,180.0,top
R21,48.544452,45.86,270.0,bottom
R22,65.575452,27.3928,90.0,top
R23,34.603452,3.075,180.0,top
R25,18.343452,19.655,180.0,top
R26,59.843452,48.4,90.0,top
R27,38.550652,67.445,0.0,top
R28,57.229452,43.33,180.0,bottom
R29,45.790652,67.595,180.0,top
R3,21.974452,52.23,270.0,top
R30,52.494452,67.81,0.0,top
R31,61.373452,48.39,90.0,top
R32,74.083452,48.72,90.0,top
R33,46.954452,45.86,270.0,bottom
R34,14.234452,49.6,180.0,top
R35,9.344452,45.67,180.0,top
R4,19.914452,52.21,270.0,top
R5,17.864452,52.195,270.0,top
R6,81.833452,57.425,0.0,bottom
R7,81.823452,60.405,0.0,bottom
R8,9.244452,36.94,180.0,bottom
R9,50.083452,37.145,0.0,top
U4,67.053452,60.635,0.0,top
